cant(mil) shard1 shard2 shard3 shard4 shard5
20 19,94 19,94 20,31 19,8 19,99
40 19,94 19,75 20,12 20,02 20,15
60 19,84 19,9 20,02 20,09 20,12
80 19,88 20,01 19,9 20,03 20,15
100 19,91 19,97 20,02 19,97 20,11
120 19,92 20,01 20,03 19,91 20,11
140 19,93 19,99 20,04 19,91 20,11
160 19,87 20 20,1 19,96 20,05
180 19,93 19,98 20,09 19,96 20
200 19,91 20,02 20,11 19,92 20,03
220 19,89 20,04 20,09 19,93 20,02
240 19,9 20,01 20,09 19,96 20,02
260 19,87 20 20,11 19,97 20,02
280 19,88 19,99 20,1 19,99 20,02
300 19,9 19,99 20,09 20,02 19,98
320 19,89 20 20,08 20,02 19,97
340 19,9 20,04 20,06 20,01 19,96
360 19,9 20,03 20,07 20,01 19,96
380 19,92 20,04 20,06 20,01 19,95
400 19,89 20,05 20,08 19,99 19,97
420 19,9 20,05 20,06 19,98 19,99
440 19,9 20,03 20,06 19,98 20
460 19,92 20,02 20,05 19,99 20
480 19,92 20,02 20,04 20 19,99
500 19,93 20,03 20,04 19,98 20
