cant(mil) shard1 shard2 shard3 shard4 shard5
20 56,32 15,46 28,21 0 0
40 56,51 15,31 28,17 0 0
60 56,38 15,3 28,31 0 0
80 56,46 15,27 28,26 0 0
100 56,56 15,23 28,19 0 0
120 56,66 15,17 28,16 0 0
140 29,28 15,09 28,2 0 27,42
160 29,26 15,09 28,2 0 27,43
180 29,29 15,07 28,24 0 27,38
200 29,29 15,08 28,23 0 27,38
220 29,29 15,06 28,25 0 27,38
240 29,27 15,1 28,29 0 27,32
260 29,29 15,11 28,27 0 27,31
280 16,11 28,31 15,28 12,97 27,31
300 16,09 28,33 15,27 12,96 27,32
320 16,11 28,35 15,26 12,96 27,3
340 16,09 28,37 15,27 12,94 27,31
360 16,1 28,4 15,25 12,94 27,28
380 16,07 28,4 15,28 12,93 27,29
400 16,06 28,4 15,28 12,94 27,29
420 16,08 28,41 15,28 12,92 27,28
440 16,09 28,4 15,28 12,92 27,29
460 16,1 28,41 15,27 12,92 27,28
480 16,1 28,42 15,27 12,92 27,27
500 16,1 28,42 15,26 12,92 27,28

